Date,Open,High,Low,Close,Volume,Pos_Count,Neut_Count,Neg_Count,New_Sentiment
2013-09-17 16:00:00,25.06,25.06,25.05,25.05,1525.0,1.0,4.0,0.0,0.0199999999999999
2013-09-18 16:00:00,24.96,24.96,24.96,24.96,10000.0,1.0,4.0,0.0,0.0199999999999999
2013-09-19 16:00:00,25.18,25.18,25.18,25.18,1000.0,1.0,4.0,0.0,0.0199999999999999
2013-09-23 16:00:00,24.84,24.84,24.84,24.84,115.0,1.0,4.0,0.0,0.0199999999999999
2013-09-24 16:00:00,24.98,24.98,24.98,24.98,2000.0,1.0,4.0,0.0,0.0199999999999999
2013-09-27 16:00:00,25.24,25.24,25.1,25.1,640.0,1.0,4.0,0.0,0.0199999999999999
2013-10-01 16:00:00,25.11,25.19,25.11,25.19,2040.0,1.0,4.0,0.0,0.0199999999999999
2013-10-07 16:00:00,24.8,24.8,24.8,24.8,100.0,1.0,4.0,0.0,0.0199999999999999
2013-10-08 16:00:00,24.8,24.8,24.8,24.8,525.0,1.0,4.0,0.0,0.0199999999999999
2013-10-09 16:00:00,24.7,24.7,24.7,24.7,100.0,1.0,4.0,0.0,0.0199999999999999
2013-10-17 16:00:00,25.4,25.4,25.4,25.4,600.0,1.0,4.0,0.0,0.0199999999999999
2013-10-18 16:00:00,25.73,25.73,25.73,25.73,400.0,1.0,4.0,0.0,0.0199999999999999
2013-10-24 16:00:00,25.5,25.5,25.48,25.48,430.0,1.0,4.0,0.0,0.0199999999999999
2013-10-29 16:00:00,25.75,25.75,25.75,25.75,177.0,1.0,4.0,0.0,0.0199999999999999
2013-11-06 16:00:00,25.2,25.2,25.19,25.19,500.0,1.0,4.0,0.0,0.0199999999999999
2013-11-11 16:00:00,25.22,25.22,25.2,25.2,400.0,1.0,4.0,0.0,0.0199999999999999
2013-11-15 16:00:00,25.41,25.41,25.41,25.41,300.0,1.0,4.0,0.0,0.0199999999999999
2013-11-19 16:00:00,25.5,25.51,25.5,25.51,7139.0,1.0,4.0,0.0,0.0199999999999999
2013-11-20 16:00:00,25.55,25.62,25.55,25.62,569.0,1.0,4.0,0.0,0.0199999999999999
2013-11-21 16:00:00,25.81,25.81,25.81,25.81,200.0,1.0,4.0,0.0,0.0199999999999999
